"subjectID" "activity" "feature" "grpbyMean" "grpbySdev"
1 "laying" "fBodyAcc" -0.896277044593333 -0.856984850046667
1 "laying" "fBodyAccJerk" -0.942532465933333 -0.9523218554
1 "laying" "fBodyAccMag" -0.8617676481 -0.7983009404
1 "laying" "fBodyBodyAccJerkMag" -0.9333003608 -0.9218039756
1 "laying" "fBodyBodyGyroJerkMag" -0.9423669466 -0.9326606676
1 "laying" "fBodyBodyGyroMag" -0.8621901854 -0.82431943968
1 "laying" "fBodyGyro" -0.903914463462 -0.916703669466667
1 "laying" "tBodyAcc" 0.0226269123102 -0.863648425482667
1 "laying" "tBodyAccJerk" 0.0319196581899333 -0.945828832133333
1 "laying" "tBodyAccJerkMag" -0.9543962646 -0.9282456284
1 "laying" "tBodyAccMag" -0.8419291525 -0.79514486386
1 "laying" "tBodyGyro" 0.0225500727313333 -0.910972990206667
1 "laying" "tBodyGyroJerk" -0.074279452394 -0.948101974666667
1 "laying" "tBodyGyroJerkMag" -0.96346103 -0.9358409828
1 "laying" "tBodyGyroMag" -0.874759548 -0.81901016976
1 "laying" "tGravityAcc" 0.300828564993333 -0.885638771793333
1 "laying" "tGravityAccMag" -0.8419291525 -0.79514486386
1 "sitting" "fBodyAcc" -0.960970226099291 -0.942718959219858
1 "sitting" "fBodyAccJerk" -0.984743193971631 -0.986115362978723
1 "sitting" "fBodyAccMag" -0.947782922553192 -0.928444801702128
1 "sitting" "fBodyBodyAccJerkMag" -0.985262126808511 -0.981606177446808
1 "sitting" "fBodyBodyGyroJerkMag" -0.989797547234043 -0.987049617234043
1 "sitting" "fBodyBodyGyroMag" -0.958435589361702 -0.932198374893617
1 "sitting" "fBodyGyro" -0.967771864609929 -0.961389036879433
1 "sitting" "tBodyAcc" 0.0517950318395035 -0.946477980425532
1 "sitting" "tBodyAccJerk" 0.0244985416073759 -0.985237827021277
1 "sitting" "tBodyAccJerkMag" -0.987364195531915 -0.984120024042553
1 "sitting" "tBodyAccMag" -0.948536786170213 -0.927078418723404
1 "sitting" "tBodyGyro" -0.0247809434191489 -0.961703699787234
1 "sitting" "tBodyGyroJerk" -0.0601979400496454 -0.989728489007092
1 "sitting" "tBodyGyroJerkMag" -0.991976341276596 -0.988308728510638
1 "sitting" "tBodyGyroMag" -0.93089249 -0.934531840425532
1 "sitting" "tGravityAcc" 0.455988409617021 -0.951005044964539
1 "sitting" "tGravityAccMag" -0.948536786170213 -0.927078418723404
1 "standing" "fBodyAcc" -0.985872626352201 -0.982086235597484
1 "standing" "fBodyAccJerk" -0.990267222641509 -0.991480601383648
1 "standing" "fBodyAccMag" -0.985356361132075 -0.982313804716981
1 "standing" "fBodyBodyAccJerkMag" -0.99254247754717 -0.992536003396226
1 "standing" "fBodyBodyGyroJerkMag" -0.994815376981132 -0.994671123207547
1 "standing" "fBodyBodyGyroMag" -0.984617623396226 -0.978466072075472
1 "standing" "fBodyGyro" -0.98538145490566 -0.985650062138365
1 "standing" "tBodyAcc" 0.0507260737389937 -0.98290861163522
1 "standing" "tBodyAccJerk" 0.0265557118692075 -0.990834817358491
